obat,kontraindikasi
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari jika memiliki gangguan hati berat
Omeprazole,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Diazepam,Tidak boleh digunakan dengan alkohol
Warfarin,Tidak disarankan untuk ibu hamil
Cetirizine,Tidak disarankan untuk ibu hamil
Amoxicillin,Interaksi serius dengan obat pengencer darah
Clopidogrel,Interaksi serius dengan obat pengencer darah
Omeprazole,Hindari jika memiliki tukak lambung aktif
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Tidak disarankan untuk ibu hamil
Prednisone,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Hindari jika memiliki gangguan hati berat
Prednisone,Hindari jika memiliki gangguan hati berat
Cetirizine,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Cetirizine,Tidak boleh digunakan dengan alkohol
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Levothyroxine,Interaksi serius dengan obat pengencer darah
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Interaksi serius dengan obat pengencer darah
Paracetamol,Hindari jika memiliki gangguan hati berat
Prednisone,Tidak boleh digunakan dengan alkohol
Amoxicillin,Hindari jika memiliki gangguan hati berat
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Dexamethasone,Interaksi serius dengan obat pengencer darah
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Hindari jika memiliki tukak lambung aktif
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Dexamethasone,Interaksi serius dengan obat pengencer darah
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Tidak disarankan untuk ibu hamil
Prednisone,Hindari jika memiliki gangguan hati berat
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Omeprazole,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari jika memiliki gangguan hati berat
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Hindari jika memiliki gangguan hati berat
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Cetirizine,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Tidak boleh digunakan dengan alkohol
Simvastatin,Tidak disarankan untuk ibu hamil
Diazepam,Tidak boleh digunakan dengan alkohol
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Losartan,Tidak disarankan untuk ibu hamil
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Losartan,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Metoprolol,Hindari jika memiliki tukak lambung aktif
Ibuprofen,Tidak boleh digunakan dengan alkohol
Paracetamol,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki tukak lambung aktif
Furosemide,Interaksi serius dengan obat pengencer darah
Paracetamol,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Furosemide,Interaksi serius dengan obat pengencer darah
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari jika memiliki tukak lambung aktif
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Hindari jika memiliki gangguan hati berat
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Hindari jika memiliki gangguan hati berat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Tidak boleh digunakan dengan alkohol
Metoprolol,Tidak boleh digunakan dengan alkohol
Aspirin,Tidak boleh digunakan dengan alkohol
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari jika memiliki gangguan hati berat
Aspirin,Tidak disarankan untuk ibu hamil
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Tidak disarankan untuk ibu hamil
Doxycycline,Hindari jika memiliki tukak lambung aktif
Losartan,Tidak boleh digunakan dengan alkohol
Warfarin,Hindari jika memiliki tukak lambung aktif
Aspirin,Hindari jika memiliki gangguan hati berat
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Levothyroxine,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari jika memiliki tukak lambung aktif
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Hindari jika memiliki tukak lambung aktif
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Amoxicillin,Tidak disarankan untuk ibu hamil
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Tidak boleh digunakan dengan alkohol
Doxycycline,Tidak disarankan untuk ibu hamil
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Interaksi serius dengan obat pengencer darah
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Diazepam,Hindari jika memiliki tukak lambung aktif
Losartan,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari jika memiliki gangguan hati berat
Paracetamol,Interaksi serius dengan obat pengencer darah
Metformin,Tidak disarankan untuk ibu hamil
Aspirin,Hindari jika memiliki gangguan hati berat
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki tukak lambung aktif
Metoprolol,Tidak disarankan untuk ibu hamil
Aspirin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki gangguan hati berat
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Metformin,Hindari jika memiliki gangguan hati berat
Omeprazole,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki tukak lambung aktif
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Interaksi serius dengan obat pengencer darah
Amoxicillin,Hindari jika memiliki gangguan hati berat
Aspirin,Interaksi serius dengan obat pengencer darah
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Hindari jika memiliki tukak lambung aktif
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Interaksi serius dengan obat pengencer darah
Doxycycline,Tidak boleh digunakan dengan alkohol
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Tidak boleh digunakan dengan alkohol
Prednisone,Tidak disarankan untuk ibu hamil
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki tukak lambung aktif
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Interaksi serius dengan obat pengencer darah
Clopidogrel,Tidak boleh digunakan dengan alkohol
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Hindari jika memiliki gangguan hati berat
Clopidogrel,Tidak boleh digunakan dengan alkohol
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Interaksi serius dengan obat pengencer darah
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Tidak boleh digunakan dengan alkohol
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Tidak disarankan untuk ibu hamil
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Interaksi serius dengan obat pengencer darah
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Tidak boleh digunakan dengan alkohol
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Tidak disarankan untuk ibu hamil
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki tukak lambung aktif
Warfarin,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari jika memiliki gangguan hati berat
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Simvastatin,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Tidak disarankan untuk ibu hamil
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Interaksi serius dengan obat pengencer darah
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Tidak boleh digunakan dengan alkohol
Ibuprofen,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Interaksi serius dengan obat pengencer darah
Clopidogrel,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Tidak disarankan untuk ibu hamil
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Tidak disarankan untuk ibu hamil
Metoprolol,Hindari jika memiliki tukak lambung aktif
Levothyroxine,Hindari jika memiliki gangguan hati berat
Doxycycline,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Losartan,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Prednisone,Hindari jika memiliki tukak lambung aktif
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Hindari jika memiliki gangguan hati berat
Amoxicillin,Tidak boleh digunakan dengan alkohol
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari jika memiliki tukak lambung aktif
Paracetamol,Hindari jika memiliki gangguan hati berat
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Tidak disarankan untuk ibu hamil
Furosemide,Tidak disarankan untuk ibu hamil
Ibuprofen,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Losartan,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Aspirin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Hindari jika memiliki tukak lambung aktif
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Hindari jika memiliki tukak lambung aktif
Simvastatin,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Tidak disarankan untuk ibu hamil
Metoprolol,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki gangguan hati berat
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Interaksi serius dengan obat pengencer darah
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Tidak boleh digunakan dengan alkohol
Paracetamol,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari jika memiliki gangguan hati berat
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Hindari jika memiliki gangguan hati berat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Interaksi serius dengan obat pengencer darah
Furosemide,Interaksi serius dengan obat pengencer darah
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Tidak disarankan untuk ibu hamil
Clopidogrel,Tidak boleh digunakan dengan alkohol
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Furosemide,Tidak boleh digunakan dengan alkohol
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari jika memiliki tukak lambung aktif
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Tidak boleh digunakan dengan alkohol
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Losartan,Interaksi serius dengan obat pengencer darah
Aspirin,Tidak boleh digunakan dengan alkohol
Diazepam,Hindari jika memiliki gangguan hati berat
Metformin,Hindari jika memiliki gangguan hati berat
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Losartan,Tidak boleh digunakan dengan alkohol
Prednisone,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Tidak disarankan untuk ibu hamil
Dexamethasone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Tidak boleh digunakan dengan alkohol
Cetirizine,Tidak boleh digunakan dengan alkohol
Dexamethasone,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari jika memiliki tukak lambung aktif
Metformin,Hindari jika memiliki tukak lambung aktif
Doxycycline,Tidak boleh digunakan dengan alkohol
Omeprazole,Tidak disarankan untuk ibu hamil
Hydrochlorothiazide,Tidak disarankan untuk ibu hamil
Clopidogrel,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Tidak boleh digunakan dengan alkohol
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Interaksi serius dengan obat pengencer darah
Omeprazole,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Tidak disarankan untuk ibu hamil
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Interaksi serius dengan obat pengencer darah
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari jika memiliki gangguan hati berat
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Tidak boleh digunakan dengan alkohol
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari jika memiliki tukak lambung aktif
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Tidak boleh digunakan dengan alkohol
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Tidak boleh digunakan dengan alkohol
